8.78 4.99 3.00
10.13 -1.56 2.00
10.04 6.45 2.00
3.71 15.65 4.00
2.40 2.99 1.00
10.15 2.04 2.00
9.52 1.38 2.00
6.84 7.26 3.00
7.42 11.24 3.00
4.51 15.32 4.00
10.21 2.91 2.00
3.32 7.46 3.00
9.40 1.83 2.00
0.62 0.08 0.00
2.53 3.33 1.00
1.05 0.47 0.00
1.36 5.30 1.00
0.43 -0.90 0.00
4.62 15.55 4.00
0.57 -0.35 0.00
3.72 15.02 4.00
4.57 15.04 4.00
1.56 4.28 1.00
9.94 3.61 2.00
0.00 0.00 0.00
-0.71 -0.06 0.00
5.52 15.64 4.00
3.09 6.33 3.00
10.24 3.48 2.00
0.00 0.00 0.00
1.89 0.21 0.00
2.91 14.58 4.00
5.93 14.17 4.00
6.28 14.94 4.00
9.25 3.50 2.00
9.84 4.90 3.00
5.06 14.28 4.00
0.00 0.00 0.00
8.32 6.14 3.00
9.92 4.41 2.00
10.16 2.57 2.00
9.63 11.31 3.00
4.58 6.16 3.00
0.00 0.00 0.00
10.08 3.27 2.00
0.00 0.00 0.00
9.91 5.64 2.00
7.38 8.27 3.00
1.72 -0.08 0.00
8.32 5.30 3.00
0.85 1.99 1.00
5.68 15.35 4.00
1.97 -0.84 0.00
9.88 3.03 2.00
4.45 14.99 4.00
9.92 2.76 2.00
1.00 3.92 1.00
0.00 0.00 0.00
10.35 5.01 2.00
1.92 5.33 1.00
1.35 -0.27 0.00
9.31 4.74 2.00
5.10 14.73 4.00
6.42 14.93 4.00
5.54 9.46 3.00
9.87 6.26 2.00
5.89 13.93 4.00
1.91 4.92 1.00
1.51 -1.21 0.00
0.20 0.75 0.00
9.63 3.41 2.00
3.80 14.54 4.00
2.28 5.16 1.00
3.88 5.09 3.00
3.37 15.87 4.00
4.83 14.35 4.00
0.00 0.00 0.00
8.60 7.69 3.00
10.23 2.39 2.00
4.28 14.99 4.00
5.03 14.41 4.00
3.56 14.32 4.00
6.60 5.26 3.00
6.32 15.13 4.00
5.80 14.54 4.00
6.10 6.39 3.00
1.47 -0.84 0.00
2.49 3.47 1.00
10.29 2.69 2.00
2.23 3.39 1.00
2.04 5.20 1.00
0.16 0.44 0.00
9.80 2.96 2.00
10.01 2.16 2.00
5.67 4.73 3.00
10.45 3.51 2.00
0.00 0.00 0.00
0.02 0.43 0.00
2.50 5.18 1.00
2.09 5.50 1.00
4.88 15.24 4.00
9.82 2.78 2.00
2.03 1.82 0.00
7.99 7.36 3.00
3.29 15.70 4.00
0.88 -0.54 0.00
1.95 3.26 1.00
2.11 4.74 1.00
9.99 3.29 2.00
4.66 15.95 4.00
1.06 4.16 1.00
0.00 0.00 0.00
9.30 3.61 2.00
5.54 14.85 4.00
0.24 0.13 0.00
10.08 3.25 2.00
7.28 8.03 3.00
10.10 4.41 2.00
6.16 11.58 3.00
-1.53 0.04 0.00
-1.78 -1.52 0.00
9.98 2.14 2.00
9.69 4.24 2.00
9.82 2.80 2.00
6.15 14.75 4.00
9.87 1.81 2.00
10.00 2.79 2.00
0.00 0.00 0.00
5.22 14.77 4.00
7.74 3.75 3.00
4.60 14.38 4.00
3.14 5.08 1.00
1.70 -0.51 0.00
3.62 14.41 4.00
-0.24 0.94 0.00
0.00 0.00 0.00
-0.22 0.44 0.00
10.00 5.14 2.00
7.21 4.64 3.00
4.31 14.79 4.00
1.36 -1.42 0.00
4.24 14.72 4.00
4.00 15.07 4.00
1.88 1.36 0.00
6.04 9.30 3.00
10.27 2.54 2.00
7.30 7.64 3.00
0.00 0.00 0.00
5.94 14.94 4.00
1.71 0.90 0.00
5.87 14.82 4.00
10.65 -0.39 2.00
0.46 0.77 0.00
0.00 0.00 0.00
4.29 15.50 4.00
0.73 0.06 0.00
5.07 14.98 4.00
6.90 15.81 4.00
5.21 14.68 4.00
10.13 0.29 2.00
5.45 14.58 4.00
4.89 14.59 4.00
4.40 15.89 4.00
0.00 0.00 0.00
1.08 0.13 0.00
9.77 2.78 2.00
1.55 -1.66 0.00
0.00 0.00 0.00
2.14 6.36 1.00
4.92 15.04 4.00
4.69 14.76 4.00
0.00 0.00 0.00
7.99 4.78 3.00
5.76 7.47 3.00
2.75 7.30 1.00
4.07 15.98 4.00
2.00 5.51 1.00
0.00 0.00 0.00
5.10 16.05 4.00
2.34 4.77 1.00
2.37 5.10 1.00
2.27 7.05 1.00
2.24 6.82 1.00
1.83 7.09 1.00
10.67 4.21 3.00
5.12 14.53 4.00
0.00 0.00 0.00
1.52 -0.65 0.00
7.53 7.09 3.00
1.51 2.29 1.00
0.00 0.00 0.00
4.58 14.83 4.00
10.39 6.71 3.00
0.00 0.00 0.00
10.16 2.56 2.00
9.84 2.05 2.00
5.80 14.87 4.00
8.03 7.00 3.00
-1.10 0.33 0.00
2.64 5.54 1.00
0.42 -0.22 0.00
10.10 2.83 2.00
10.62 4.38 2.00
4.81 14.67 4.00
9.73 3.72 2.00
2.40 4.69 1.00
1.10 7.07 1.00
1.91 6.46 1.00
10.70 1.66 2.00
1.80 5.66 1.00
0.00 0.00 0.00
10.33 1.99 2.00
4.68 14.52 4.00
10.39 1.72 2.00
6.66 3.92 3.00
7.45 15.58 4.00
0.00 0.00 0.00
2.13 0.94 0.00
8.34 10.82 3.00
6.60 15.08 4.00
2.48 3.86 1.00
2.70 3.42 1.00
2.08 0.09 0.00
1.43 4.93 1.00
5.84 14.94 4.00
1.57 6.03 1.00
-0.41 -0.14 0.00
10.33 2.78 2.00
9.91 2.42 2.00
5.16 8.73 3.00
0.90 -0.02 0.00
10.51 2.40 2.00
5.21 14.89 4.00
7.26 14.63 4.00
4.95 15.41 4.00
1.00 1.51 0.00
9.44 2.82 2.00
5.34 14.79 4.00
4.56 14.78 4.00
7.42 8.19 3.00
2.05 3.09 1.00
5.62 15.21 4.00
7.70 6.01 3.00
1.07 -0.23 0.00
10.12 3.16 2.00
1.75 4.59 1.00
0.68 -1.73 0.00
5.87 7.90 3.00
-0.02 -0.10 0.00
0.00 0.00 0.00
7.06 10.03 3.00
0.00 0.00 0.00
10.39 3.38 2.00
4.92 15.43 4.00
5.34 15.16 4.00
0.77 -0.26 0.00
9.96 4.49 2.00
4.45 6.49 3.00
3.83 15.58 4.00
2.62 4.02 1.00
10.11 4.35 2.00
9.80 2.18 2.00
2.09 -0.46 0.00
2.37 7.13 1.00
3.18 8.17 3.00
8.20 8.91 3.00
5.02 14.56 4.00
9.78 5.00 2.00
0.00 0.00 0.00
9.70 2.53 2.00
1.25 -0.44 0.00
1.39 7.38 1.00
0.39 0.76 0.00
5.27 15.65 4.00
0.00 0.00 0.00
6.29 7.18 3.00
